"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 24 21:58:04 CST 2021","Wed Feb 24 21:58:04 CST 2021","16","","test_calc","TestCalc","","","test_sub[1--1000000000-减数不能小于-999999999]","
        测试加法
        :param a: 被减数
        :param b: 减数
        :param expect: 等于
        :return:
        "
"passed","Wed Feb 24 21:58:04 CST 2021","Wed Feb 24 21:58:04 CST 2021","16","","test_calc","TestCalc","","","test_add[0-0-0]","
        测试加法
        :param a: 加数
        :param b: 加数
        :param expect: 等于
        :return:
        "
"passed","Wed Feb 24 21:58:05 CST 2021","Wed Feb 24 21:58:05 CST 2021","16","","test_calc","TestCalc","","","test_mul[-1000000000-0-被乘数不能小于-999999999]","
        测试加法
        :param a: 被乘数
        :param b: 乘数
        :param expect: 等于
        :return:
        "
"passed","Wed Feb 24 21:58:04 CST 2021","Wed Feb 24 21:58:04 CST 2021","17","","test_calc","TestCalc","","","test_sub[999999999-999999999-0]","
        测试加法
        :param a: 被减数
        :param b: 减数
        :param expect: 等于
        :return:
        "
"passed","Wed Feb 24 21:58:05 CST 2021","Wed Feb 24 21:58:05 CST 2021","16","","test_calc","TestCalc","","","test_mul[1--999999999--999999999]","
        测试加法
        :param a: 被乘数
        :param b: 乘数
        :param expect: 等于
        :return:
        "
"passed","Wed Feb 24 21:58:04 CST 2021","Wed Feb 24 21:58:04 CST 2021","16","","test_calc","TestCalc","","","test_sub[999999999--999999999-1999999998]","
        测试加法
        :param a: 被减数
        :param b: 减数
        :param expect: 等于
        :return:
        "
"passed","Wed Feb 24 21:58:05 CST 2021","Wed Feb 24 21:58:05 CST 2021","16","","test_calc","TestCalc","","","test_div[1--1000000000-除数不能小于-999999999]","
        测试加法
        :param a: 被除数
        :param b: 除数
        :param expect: 等于
        :return:
        "
"passed","Wed Feb 24 21:58:05 CST 2021","Wed Feb 24 21:58:05 CST 2021","16","","test_calc","TestCalc","","","test_mul[0-0-0]","
        测试加法
        :param a: 被乘数
        :param b: 乘数
        :param expect: 等于
        :return:
        "
"passed","Wed Feb 24 21:58:04 CST 2021","Wed Feb 24 21:58:04 CST 2021","13","","test_calc","TestCalc","","","test_sub[-1000000000-0-被减数不能小于-999999999]","
        测试加法
        :param a: 被减数
        :param b: 减数
        :param expect: 等于
        :return:
        "
"passed","Wed Feb 24 21:58:04 CST 2021","Wed Feb 24 21:58:04 CST 2021","16","","test_calc","TestCalc","","","test_add[-999999999--999999999--19999999981]","
        测试加法
        :param a: 加数
        :param b: 加数
        :param expect: 等于
        :return:
        "
"passed","Wed Feb 24 21:58:04 CST 2021","Wed Feb 24 21:58:05 CST 2021","17","","test_calc","TestCalc","","","test_mul[0.1-0.2-0.02]","
        测试加法
        :param a: 被乘数
        :param b: 乘数
        :param expect: 等于
        :return:
        "
"passed","Wed Feb 24 21:58:04 CST 2021","Wed Feb 24 21:58:04 CST 2021","15","","test_calc","TestCalc","","","test_sub[0.1-0.2--0.1]","
        测试加法
        :param a: 被减数
        :param b: 减数
        :param expect: 等于
        :return:
        "
"passed","Wed Feb 24 21:58:04 CST 2021","Wed Feb 24 21:58:04 CST 2021","18","","test_calc","TestCalc","","","test_add[-1000000000-0-被加数不能小于-999999999]","
        测试加法
        :param a: 加数
        :param b: 加数
        :param expect: 等于
        :return:
        "
"passed","Wed Feb 24 21:58:04 CST 2021","Wed Feb 24 21:58:04 CST 2021","16","","test_calc","TestCalc","","","test_mul[1-1000000000-乘数不能大于999999999]","
        测试加法
        :param a: 被乘数
        :param b: 乘数
        :param expect: 等于
        :return:
        "
"passed","Wed Feb 24 21:58:04 CST 2021","Wed Feb 24 21:58:04 CST 2021","15","","test_calc","TestCalc","","","test_sub[-999999999--999999999-0]","
        测试加法
        :param a: 被减数
        :param b: 减数
        :param expect: 等于
        :return:
        "
"passed","Wed Feb 24 21:58:05 CST 2021","Wed Feb 24 21:58:05 CST 2021","15","","test_calc","TestCalc","","","test_div[-1000000000-0-被除数不能小于-999999999]","
        测试加法
        :param a: 被除数
        :param b: 除数
        :param expect: 等于
        :return:
        "
"passed","Wed Feb 24 21:58:04 CST 2021","Wed Feb 24 21:58:04 CST 2021","16","","test_calc","TestCalc","","","test_sub[0-0-0]","
        测试加法
        :param a: 被减数
        :param b: 减数
        :param expect: 等于
        :return:
        "
"passed","Wed Feb 24 21:58:05 CST 2021","Wed Feb 24 21:58:05 CST 2021","17","","test_calc","TestCalc","","","test_mul[-999999999-1--999999999]","
        测试加法
        :param a: 被乘数
        :param b: 乘数
        :param expect: 等于
        :return:
        "
"passed","Wed Feb 24 21:58:04 CST 2021","Wed Feb 24 21:58:04 CST 2021","15","","test_calc","TestCalc","","","test_sub[-999999999-1--1000000000]","
        测试加法
        :param a: 被减数
        :param b: 减数
        :param expect: 等于
        :return:
        "
"passed","Wed Feb 24 21:58:04 CST 2021","Wed Feb 24 21:58:04 CST 2021","18","","test_calc","TestCalc","","","test_add[999999999-999999998-1999999997]","
        测试加法
        :param a: 加数
        :param b: 加数
        :param expect: 等于
        :return:
        "
"passed","Wed Feb 24 21:58:04 CST 2021","Wed Feb 24 21:58:04 CST 2021","17","","test_calc","TestCalc","","","test_mul[1000000000-1-被乘数不能大于999999999]","
        测试加法
        :param a: 被乘数
        :param b: 乘数
        :param expect: 等于
        :return:
        "
"passed","Wed Feb 24 21:58:05 CST 2021","Wed Feb 24 21:58:05 CST 2021","19","","test_calc","TestCalc","","","test_div[-999999999-999999999--1]","
        测试加法
        :param a: 被除数
        :param b: 除数
        :param expect: 等于
        :return:
        "
"passed","Wed Feb 24 21:58:04 CST 2021","Wed Feb 24 21:58:04 CST 2021","19","","test_calc","TestCalc","","","test_add[999999999-999999999-1999999998]","
        测试加法
        :param a: 加数
        :param b: 加数
        :param expect: 等于
        :return:
        "
"passed","Wed Feb 24 21:58:05 CST 2021","Wed Feb 24 21:58:05 CST 2021","16","","test_calc","TestCalc","","","test_mul[1--1000000000-乘数不能小于-999999999]","
        测试加法
        :param a: 被乘数
        :param b: 乘数
        :param expect: 等于
        :return:
        "
"passed","Wed Feb 24 21:58:05 CST 2021","Wed Feb 24 21:58:05 CST 2021","16","","test_calc","TestCalc","","","test_mul[-999999999--999999999-999999998000000001]","
        测试加法
        :param a: 被乘数
        :param b: 乘数
        :param expect: 等于
        :return:
        "
"passed","Wed Feb 24 21:58:05 CST 2021","Wed Feb 24 21:58:05 CST 2021","23","","test_calc","TestCalc","","","test_div[-999999999--999999999-1]","
        测试加法
        :param a: 被除数
        :param b: 除数
        :param expect: 等于
        :return:
        "
"passed","Wed Feb 24 21:58:05 CST 2021","Wed Feb 24 21:58:05 CST 2021","17","","test_calc","TestCalc","","","test_mul[-999999999-999999999--999999998000000001]","
        测试加法
        :param a: 被乘数
        :param b: 乘数
        :param expect: 等于
        :return:
        "
"passed","Wed Feb 24 21:58:04 CST 2021","Wed Feb 24 21:58:04 CST 2021","16","","test_calc","TestCalc","","","test_add[-999999999-1--999999998]","
        测试加法
        :param a: 加数
        :param b: 加数
        :param expect: 等于
        :return:
        "
"passed","Wed Feb 24 21:58:05 CST 2021","Wed Feb 24 21:58:05 CST 2021","17","","test_calc","TestCalc","","","test_mul[999999999-999999998-999999997000000002]","
        测试加法
        :param a: 被乘数
        :param b: 乘数
        :param expect: 等于
        :return:
        "
"passed","Wed Feb 24 21:58:04 CST 2021","Wed Feb 24 21:58:04 CST 2021","17","","test_calc","TestCalc","","","test_add[-999999999--999999999--19999999980]","
        测试加法
        :param a: 加数
        :param b: 加数
        :param expect: 等于
        :return:
        "
"passed","Wed Feb 24 21:58:05 CST 2021","Wed Feb 24 21:58:05 CST 2021","15","","test_calc","TestCalc","","","test_mul[999999999-999999999-999999998000000001]","
        测试加法
        :param a: 被乘数
        :param b: 乘数
        :param expect: 等于
        :return:
        "
"passed","Wed Feb 24 21:58:04 CST 2021","Wed Feb 24 21:58:04 CST 2021","16","","test_calc","TestCalc","","","test_sub[1-1000000000-减数不能大于999999999]","
        测试加法
        :param a: 被减数
        :param b: 减数
        :param expect: 等于
        :return:
        "
"passed","Wed Feb 24 21:58:05 CST 2021","Wed Feb 24 21:58:05 CST 2021","21","","test_calc","TestCalc","","","test_div[0-0-除数不能为0]","
        测试加法
        :param a: 被除数
        :param b: 除数
        :param expect: 等于
        :return:
        "
"passed","Wed Feb 24 21:58:05 CST 2021","Wed Feb 24 21:58:05 CST 2021","16","","test_calc","TestCalc","","","test_div[0.1-0.2-0.5]","
        测试加法
        :param a: 被除数
        :param b: 除数
        :param expect: 等于
        :return:
        "
"passed","Wed Feb 24 21:58:05 CST 2021","Wed Feb 24 21:58:05 CST 2021","20","","test_calc","TestCalc","","","test_div[1-1000000000-除数不能大于999999999]","
        测试加法
        :param a: 被除数
        :param b: 除数
        :param expect: 等于
        :return:
        "
"passed","Wed Feb 24 21:58:04 CST 2021","Wed Feb 24 21:58:04 CST 2021","17","","test_calc","TestCalc","","","test_add[0.1-0.2-0.3]","
        测试加法
        :param a: 加数
        :param b: 加数
        :param expect: 等于
        :return:
        "
"passed","Wed Feb 24 21:58:04 CST 2021","Wed Feb 24 21:58:04 CST 2021","68","","test_calc","TestCalc","","","test_add[1000000000-1-被加数不能大于999999999]","
        测试加法
        :param a: 加数
        :param b: 加数
        :param expect: 等于
        :return:
        "
"passed","Wed Feb 24 21:58:04 CST 2021","Wed Feb 24 21:58:04 CST 2021","17","","test_calc","TestCalc","","","test_sub[999999998-999999999--1]","
        测试加法
        :param a: 被减数
        :param b: 减数
        :param expect: 等于
        :return:
        "
"passed","Wed Feb 24 21:58:04 CST 2021","Wed Feb 24 21:58:04 CST 2021","16","","test_calc","TestCalc","","","test_add[999999998-999999999-1999999997]","
        测试加法
        :param a: 加数
        :param b: 加数
        :param expect: 等于
        :return:
        "
"passed","Wed Feb 24 21:58:05 CST 2021","Wed Feb 24 21:58:05 CST 2021","15","","test_calc","TestCalc","","","test_mul[999999998-999999999-999999997000000002]","
        测试加法
        :param a: 被乘数
        :param b: 乘数
        :param expect: 等于
        :return:
        "
"passed","Wed Feb 24 21:58:04 CST 2021","Wed Feb 24 21:58:04 CST 2021","15","","test_calc","TestCalc","","","test_sub[999999999-999999998-1]","
        测试加法
        :param a: 被减数
        :param b: 减数
        :param expect: 等于
        :return:
        "
"passed","Wed Feb 24 21:58:05 CST 2021","Wed Feb 24 21:58:05 CST 2021","20","","test_calc","TestCalc","","","test_div[999999999-999999998-1.000000001]","
        测试加法
        :param a: 被除数
        :param b: 除数
        :param expect: 等于
        :return:
        "
"passed","Wed Feb 24 21:58:04 CST 2021","Wed Feb 24 21:58:04 CST 2021","15","","test_calc","TestCalc","","","test_add[1-1000000000-加数不能大于999999999]","
        测试加法
        :param a: 加数
        :param b: 加数
        :param expect: 等于
        :return:
        "
"passed","Wed Feb 24 21:58:05 CST 2021","Wed Feb 24 21:58:05 CST 2021","16","","test_calc","TestCalc","","","test_div[-999999999-1--999999999]","
        测试加法
        :param a: 被除数
        :param b: 除数
        :param expect: 等于
        :return:
        "
"passed","Wed Feb 24 21:58:04 CST 2021","Wed Feb 24 21:58:04 CST 2021","13","","test_calc","TestCalc","","","test_sub[1000000000-1-被减数不能大于999999999]","
        测试加法
        :param a: 被减数
        :param b: 减数
        :param expect: 等于
        :return:
        "
"passed","Wed Feb 24 21:58:04 CST 2021","Wed Feb 24 21:58:04 CST 2021","17","","test_calc","TestCalc","","","test_add[1--999999999--999999998]","
        测试加法
        :param a: 加数
        :param b: 加数
        :param expect: 等于
        :return:
        "
"passed","Wed Feb 24 21:58:05 CST 2021","Wed Feb 24 21:58:05 CST 2021","15","","test_calc","TestCalc","","","test_div[999999999-999999999-1]","
        测试加法
        :param a: 被除数
        :param b: 除数
        :param expect: 等于
        :return:
        "
"passed","Wed Feb 24 21:58:05 CST 2021","Wed Feb 24 21:58:05 CST 2021","16","","test_calc","TestCalc","","","test_div[1000000000-1-被除数不能大于999999999]","
        测试加法
        :param a: 被除数
        :param b: 除数
        :param expect: 等于
        :return:
        "
"passed","Wed Feb 24 21:58:05 CST 2021","Wed Feb 24 21:58:05 CST 2021","16","","test_calc","TestCalc","","","test_div[999999998-999999999-0.999999999]","
        测试加法
        :param a: 被除数
        :param b: 除数
        :param expect: 等于
        :return:
        "
"passed","Wed Feb 24 21:58:04 CST 2021","Wed Feb 24 21:58:04 CST 2021","16","","test_calc","TestCalc","","","test_add[1--1000000000-加数不能小于-999999999]","
        测试加法
        :param a: 加数
        :param b: 加数
        :param expect: 等于
        :return:
        "
"passed","Wed Feb 24 21:58:04 CST 2021","Wed Feb 24 21:58:04 CST 2021","17","","test_calc","TestCalc","","","test_sub[1--999999999-1000000000]","
        测试加法
        :param a: 被减数
        :param b: 减数
        :param expect: 等于
        :return:
        "
